Rule name,Times triggered
Modify user account,66
Local Scheduled Task Creation,36
Service Control Spawned via Script Interpreter,32
Bitsadmin Activity,30
Startup Persistence by a Suspicious Process,26
Uncommon Registry Persistence Change v2,23
Windows Policy Registry Modification,22
Image File Execution Options Injection V2,20
Persistence via Microsoft Office AddIns,17
Uncommon Registry Persistence Change,16
Persistent Scripts in the Startup Directory,16
RDP Registry Modification,14
Suspicious Copy From or To System Directory,14
Service Path Modification via sc.exe,12
Potential Application Shimming via Sdbinst,12
User Account Creation,12
Local Scheduled Task Creation V2,11
Registry key creation and/or modification events for SDB,10
Startup or Run Key Registry Modification,8
New Custom Shim Database Created,6
Microsoft Windows Defender Tampering V2,6
Image File Execution Options Injection,6
Potential LSA Authentication Package Abuse v2,5
Persistence via PowerShell profile,4
Installation of Security Support Provider,4
Modification of WDigest Security Provider,4
Local Account TokenFilter Policy Disabled,4
Add SafeBoot Keys Via Reg Utility,4
RDP Enabled via Registry,4
Potential Persistence via Time Provider Modification,4
Winlogon Helper DLL or Shell Modification,4
Registry Persistence via AppCert DLL,4
Change Default File Association Via Assoc,4
Potential LSA Authentication Package Abuse,4
Component Object Model Hijacking,4
Registry Persistence via AppInit DLL,4
System Shells via Services,3
Shortcut Modification,3
Shortcut File Written or Modified on Startup Folder,3
Web Shell,3
Suspicious WMI Event Subscription Created,3
Suspicious Startup Shell Folder Modification,3
Netsh Helper DLL,3
Suspicious Image Load (taskschd.dll) from MS Office,2
Suspicious Driver Install by pnputil.exe,2
Persistence via Microsoft Outlook VBA,2
Potential Port Monitor or Print Processor Registration Abuse,2
Deprecated - Microsoft Exchange Transport Agent Install Script,2
Installation of Custom Shim Databases,2
RestrictedAdminMode Registry Value Tampering,2
Potential Remote Desktop Shadowing Activity,2
Potential Remote Desktop Shadowing Activity v2,2
ShimCache Flush,2
Windows Accessibility Features Registry Modification,2
Mofcomp Activity,2
Add_persistance_via_Recycle_bin.toml,2
Account Configured with Never-Expiring Password,2
Powershell Execute COM Object,2
Outlook Home Page Registry Modification,2
Office Test Registry Persistence,2
Registry_to_load_Arbitrary_DLL_into_LSASS,2
Account Discovery Command via SYSTEM Account,2
UEFI Persistence Via Wpbbin,1
Unusual Persistence via Services Registry,1
Code Executed Via Office Add-in XLL File,1
Add Port Monitor persistence in Registry,1
Change PowerShell Policies to an Insecure Level,1
Modification of IE Registry Settings,1
Potential Suspicious Activity Using SeCEdit,1
Modification of Boot Verification Program registry,1
