Technique,Tests detected,Tests total,Failed tests,Detection rate (%),Status,Has rule
T1037.001,0,1,0,0.0,No rule,No
T1053.002,0,0,1,0.0,All tests failed,Yes
T1078.001,0,2,0,0.0,No rule,No
T1133,0,1,0,0.0,Not detected,Yes
T1137.001,0,1,0,0.0,Not detected,Yes
T1137.005,0,5,0,0.0,No rule,No
T1176,0,3,1,0.0,Not detected,Yes
T1505.003,0,1,0,0.0,Not detected,Yes
T1505.004,0,2,0,0.0,No rule,No
T1505.005,0,2,0,0.0,No rule,No
T1542.001,0,1,0,0.0,No rule,No
T1546.001,0,1,0,0.0,No rule,No
T1546.002,0,1,0,0.0,Not detected,Yes
T1546.008,0,8,2,0.0,Not detected,Yes
T1546.018,0,2,0,0.0,No rule,No
T1547,0,3,0,0.0,Not detected,Yes
T1547.004,0,4,1,0.0,Not detected,Yes
T1547.008,0,1,0,0.0,No rule,No
T1547.010,0,1,0,0.0,Not detected,Yes
T1547.014,0,3,0,0.0,Not detected,Yes
T1556.001,0,1,0,0.0,No rule,No
T1556.002,0,2,0,0.0,No rule,No
T1098,1,10,0,10.0,Partially detected,Yes
T1112,9,87,3,10.3,Partially detected,Yes
T1546,2,9,0,22.2,Partially detected,Yes
T1078.003,1,4,0,25.0,Partially detected,Yes
T1546.015,1,4,0,25.0,Partially detected,Yes
T1546.011,1,3,0,33.3,Partially detected,Yes
T1136.001,2,4,0,50.0,Partially detected,Yes
T1547.005,1,2,0,50.0,Partially detected,Yes
T1547.009,1,2,0,50.0,Partially detected,Yes
T1053.005,7,11,1,63.6,Partially detected,Yes
T1136.002,2,3,0,66.7,Partially detected,Yes
T1543.003,4,6,0,66.7,Partially detected,Yes
T1137.006,3,4,1,75.0,Partially detected,Yes
T1547.001,15,19,1,78.9,Partially detected,Yes
T1137,1,1,0,100.0,Fully detected,Yes
T1137.002,1,1,0,100.0,Fully detected,Yes
T1137.004,1,1,0,100.0,Fully detected,Yes
T1197,3,3,1,100.0,Fully detected,Yes
T1505.002,1,1,0,100.0,Fully detected,Yes
T1546.003,2,2,1,100.0,Fully detected,Yes
T1546.007,1,1,0,100.0,Fully detected,Yes
T1546.009,1,1,0,100.0,Fully detected,Yes
T1546.010,1,1,0,100.0,Fully detected,Yes
T1546.012,3,3,0,100.0,Fully detected,Yes
T1546.013,1,1,0,100.0,Fully detected,Yes
T1547.002,1,1,0,100.0,Fully detected,Yes
T1547.003,2,2,0,100.0,Fully detected,Yes
T1547.012,1,1,0,100.0,Fully detected,Yes
