Rule name,Times triggered
Local Scheduled Task Creation,36
Bitsadmin Activity,30
Startup Persistence by a Suspicious Process,26
Service Control Spawned via Script Interpreter,18
Persistent Scripts in the Startup Directory,16
Persistence via Microsoft Office AddIns,14
Uncommon Registry Persistence Change,13
User Account Creation,12
Startup or Run Key Registry Modification,8
Service Path Modification via sc.exe,6
Potential Application Shimming via Sdbinst,6
Image File Execution Options Injection,6
Modification of WDigest Security Provider,4
Local Account TokenFilter Policy Disabled,4
Potential Persistence via Time Provider Modification,4
Registry Persistence via AppCert DLL,4
Potential LSA Authentication Package Abuse,4
Component Object Model Hijacking,4
System Shells via Services,3
Shortcut File Written or Modified on Startup Folder,3
Suspicious WMI Event Subscription Created,3
Suspicious Startup Shell Folder Modification,3
Suspicious Image Load (taskschd.dll) from MS Office,2
Persistence via PowerShell profile,2
Persistence via Microsoft Outlook VBA,2
Potential Port Monitor or Print Processor Registration Abuse,2
Deprecated - Microsoft Exchange Transport Agent Install Script,2
Installation of Custom Shim Databases,2
Installation of Security Support Provider,2
RDP Enabled via Registry,2
Potential Remote Desktop Shadowing Activity,2
Mofcomp Activity,2
Outlook Home Page Registry Modification,2
Registry Persistence via AppInit DLL,2
Office Test Registry Persistence,2
Netsh Helper DLL,2
Account Discovery Command via SYSTEM Account,2
Unusual Persistence via Services Registry,1
Account Configured with Never-Expiring Password,1
